#  N   trapezoid     Simpsons      Gauss      GSL      3-8
#---------------------------------------------------------
2.948902e+00  -6.976007e+00  -1.405642e+01  -9.109124e+00  -1.575539e+01  -1.369469e+01
2.951823e+00  -6.981856e+00  -1.403111e+01  -9.114959e+00  -1.575539e+01  -1.371400e+01
2.954725e+00  -6.987666e+00  -1.407415e+01  -9.120753e+00  -1.575539e+01  -1.371400e+01
2.957607e+00  -6.993438e+00  -1.409263e+01  -9.126510e+00  -1.575539e+01  -1.376416e+01
2.960471e+00  -6.999171e+00  -1.404782e+01  -9.132228e+00  -1.575539e+01  -1.380115e+01
2.963316e+00  -7.004867e+00  -1.405642e+01  -9.137910e+00  -1.575539e+01  -1.373420e+01
2.966142e+00  -7.010525e+00  -1.408329e+01  -9.143555e+00  -1.575539e+01  -1.381091e+01
2.968950e+00  -7.016147e+00  -1.412192e+01  -9.149163e+00  -1.575539e+01  -1.378691e+01
2.971740e+00  -7.021733e+00  -1.416433e+01  -9.154734e+00  -1.575539e+01  -1.375539e+01
2.974512e+00  -7.027283e+00  -1.418719e+01  -9.160272e+00  -1.575539e+01  -1.385776e+01
2.977266e+00  -7.032798e+00  -1.421132e+01  -9.165773e+00  -1.575539e+01  -1.376416e+01
2.980003e+00  -7.038278e+00  -1.415333e+01  -9.171239e+00  -1.575539e+01  -1.387458e+01
2.982723e+00  -7.043724e+00  -1.415333e+01  -9.176671e+00  -1.575539e+01  -1.383631e+01
2.985426e+00  -7.049136e+00  -1.407415e+01  -9.182071e+00  -1.575539e+01  -1.388616e+01
2.988113e+00  -7.054514e+00  -1.415333e+01  -9.187437e+00  -1.575539e+01  -1.385230e+01
2.990783e+00  -7.059859e+00  -1.412192e+01  -9.192771e+00  -1.575539e+01  -1.385230e+01
2.993436e+00  -7.065171e+00  -1.422391e+01  -9.198071e+00  -1.575539e+01  -1.385230e+01
2.996074e+00  -7.070452e+00  -1.427827e+01  -9.203338e+00  -1.575539e+01  -1.386890e+01
2.998695e+00  -7.075700e+00  -1.412192e+01  -9.208574e+00  -1.575539e+01  -1.390413e+01
