# m=10, k=39.478, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
11.2700  -1.965923451315531e-01  -9.205559481428963e-01  4.237116268306334e+00  7.628837316935856e-01
11.2800  -2.057584948434174e-01  -9.126136836236466e-01  4.164318677685606e+00  8.356813223143129e-01
11.2900  -2.148434178889621e-01  -9.043111493268854e-01  4.088893273984562e+00  9.111067260153589e-01
11.3000  -2.238435278402571e-01  -8.956516228192736e-01  4.010959147293992e+00  9.890408527059305e-01
11.3100  -2.327552717507842e-01  -8.866385225962208e-01  3.930639348758046e+00  1.069360651241877e+00
11.3200  -2.415751315580231e-01  -8.772754067323759e-01  3.848060696287278e+00  1.151939303712644e+00
11.3300  -2.502996254722664e-01  -8.675659714770172e-01  3.763353574324303e+00  1.236646425675621e+00
11.3400  -2.589253093511154e-01  -8.575140497948939e-01  3.676651727978198e+00  1.323348272021725e+00
11.3500  -2.674487780591139e-01  -8.471236098530991e-01  3.588092051852728e+00  1.411907948147196e+00
11.3600  -2.758666668119834e-01  -8.363987534545677e-01  3.497814373901774e+00  1.502185626098151e+00
11.3700  -2.841756525049288e-01  -8.253437144188204e-01  3.405961234653277e+00  1.594038765346647e+00
11.3800  -2.923724550244906e-01  -8.139628569105913e-01  3.312677662150258e+00  1.687322337849666e+00
11.3900  -3.004538385434256e-01  -8.022606737169993e-01  3.218110942964268e+00  1.781889057035657e+00
11.4000  -3.084166127981046e-01  -7.902417844739441e-01  3.122410389642817e+00  1.877589610357107e+00
11.4100  -3.162576343479234e-01  -7.779109338424267e-01  3.025727104957982e+00  1.974272895041943e+00
11.4200  -3.239738078162291e-01  -7.652729896355132e-01  2.928213743328381e+00  2.071786256671542e+00
11.4300  -3.315620871122734e-01  -7.523329408966833e-01  2.830024269791262e+00  2.169975730208661e+00
11.4400  -3.390194766337079e-01  -7.390958959303201e-01  2.731313716905213e+00  2.268686283094709e+00
11.4500  -3.463430324491499e-01  -7.255670802851201e-01  2.632237939967370e+00  2.367762060032553e+00
11.4600  -3.535298634603485e-01  -7.117518346912192e-01  2.532953370931583e+00  2.467046629068339e+00
11.4700  -3.605771325434958e-01  -6.976556129518482e-01  2.433616771416095e+00  2.566383228583826e+00
11.4800  -3.674820576692290e-01  -6.832839797903520e-01  2.334384985190711e+00  2.665615014809211e+00
11.4900  -3.742419130008842e-01  -6.686426086534190e-01  2.235414690534246e+00  2.764585309465675e+00
11.5000  -3.808540299705668e-01  -6.537372794713934e-01  2.136862152853293e+00  2.863137847146629e+00
11.5100  -3.873157983326139e-01  -6.385738763765472e-01  2.038882977952849e+00  2.961117022047075e+00
11.5200  -3.936246671940333e-01  -6.231583853802205e-01  1.941631866348417e+00  3.058368133651507e+00
11.5300  -3.997781460215120e-01  -6.074968920097414e-01  1.845262369007477e+00  3.154737630992447e+00
11.5400  -4.057738056245963e-01  -5.915955789060601e-01  1.749926644905982e+00  3.250073355093944e+00
11.5500  -4.116092791146561e-01  -5.754607233830462e-01  1.655775220782694e+00  3.344224779217230e+00
11.5600  -4.172822628392552e-01  -5.590986949494131e-01  1.562956753470685e+00  3.437043246529241e+00
11.5700  -4.227905172915563e-01  -5.425159527942447e-01  1.471617795181236e+00  3.528382204818691e+00
11.5800  -4.281318679944044e-01  -5.257190432371219e-01  1.381902562110774e+00  3.618097437889152e+00
11.5900  -4.333042063587398e-01  -5.087145971438509e-01  1.293952706736153e+00  3.706047293263773e+00
11.6000  -4.383054905159983e-01  -4.915093273088164e-01  1.207907094157826e+00  3.792092905842100e+00
11.6100  -4.431337461241743e-01  -4.741100258049913e-01  1.123901582844048e+00  3.876098417155878e+00
11.6200  -4.477870671472252e-01  -4.565235613026513e-01  1.042068810122278e+00  3.957931189877646e+00
11.6300  -4.522636166075125e-01  -4.387568763578494e-01  9.625379827564859e-01  4.037462017243437e+00
11.6400  -4.565616273109789e-01  -4.208169846717247e-01  8.854346729410130e-01  4.114565327058910e+00
11.6500  -4.606794025447791e-01  -4.027109683217237e-01  8.108806200331017e-01  4.189119379966820e+00
11.6600  -4.646153167470857e-01  -3.844459749658305e-01  7.389935383371398e-01  4.261006461662780e+00
11.6700  -4.683678161488072e-01  -3.660292150209068e-01  6.698869312441061e-01  4.330113068755813e+00
11.6800  -4.719354193869654e-01  -3.474679588162571e-01  6.036699120196807e-01  4.396330087980239e+00
11.6900  -4.753167180894877e-01  -3.287695337235429e-01  5.404470315239791e-01  4.459552968475941e+00
11.7000  -4.785103774311867e-01  -3.099413212641776e-01  4.803181131349208e-01  4.519681886864999e+00
11.7100  -4.815151366607051e-01  -2.909907541953458e-01  4.233780951358808e-01  4.576621904864038e+00
11.7200  -4.843298095982183e-01  -2.719253135757958e-01  3.697168808164744e-01  4.630283119183446e+00
11.7300  -4.869532851036992e-01  -2.527525258125643e-01  3.194191965231549e-01  4.680580803476765e+00
11.7400  -4.893845275155603e-01  -2.334799596897990e-01  2.725644578837507e-01  4.727435542116169e+00
11.7500  -4.916225770594975e-01  -2.141152233808526e-01  2.292266444171621e-01  4.770773355582755e+00
11.7600  -4.936665502273787e-01  -1.946659614448272e-01  1.894741827261948e-01  4.810525817273724e+00
11.7700  -4.955156401260225e-01  -1.751398518087539e-01  1.533698384579613e-01  4.846630161541957e+00
11.7800  -4.971691167957336e-01  -1.555446027366005e-01  1.209706172024343e-01  4.879029382797484e+00
11.7900  -4.986263274984668e-01  -1.358879497863039e-01  9.232767448562527e-02  4.907672325514293e+00
11.8000  -4.998866969755063e-01  -1.161776527560264e-01  6.748623499949925e-02  4.932513765000420e+00
11.8100  -5.009497276745588e-01  -9.642149262084335e-02  4.648552119615674e-02  4.953514478803760e+00
11.8200  -5.018149999461713e-01  -7.662726846107115e-02  2.935869135902535e-02  4.970641308640894e+00
11.8300  -5.024821722093938e-01  -5.680279438344742e-02  1.613278724884103e-02  4.983867212751080e+00
11.8400  -5.029509810866251e-01  -3.695589643637948e-02  6.828691407082028e-03  4.993171308592838e+00
11.8500  -5.032212415075852e-01  -1.709440952047863e-02  1.461094184269153e-03  4.998538905815650e+00
11.8600  -5.032928467823754e-01  2.773825704400213e-03  3.847054519195668e-05  4.999961529454730e+00
11.8700  -5.031657686435949e-01  2.264096591439235e-02  2.563066687683382e-03  4.997436933312237e+00
11.8800  -5.028400572575012e-01  4.249916821790885e-02  9.030896496070567e-03  4.990969103503851e+00
11.8900  -5.023158412042050e-01  6.234059325175138e-02  1.943174783490155e-02  4.980568252165019e+00
11.9000  -5.015933274269117e-01  8.215740827583427e-02  3.374919867301061e-02  4.966250801326908e+00
11.9100  -5.006728011502265e-01  1.019417902652919e-01  5.196064301246382e-02  4.948039356987454e+00
11.9200  -4.995546257675579e-01  1.216859289987508e-01  7.403732658144509e-02  4.925962673418472e+00
11.9300  -4.982392426976613e-01  1.413820301415474e-01  9.994439223472705e-02  4.900055607765192e+00
11.9400  -4.967271712103813e-01  1.610223183226744e-01  1.296409349900434e-01  4.870359065009877e+00
11.9500  -4.950190082216618e-01  1.805990402042406e-01  1.630800666134646e-01  4.836919933386455e+00
11.9600  -4.931154280579028e-01  2.001044675422330e-01  2.002089896518029e-01  4.799791010348116e+00
11.9700  -4.910171821897589e-01  2.195309002373725e-01  2.409690807951559e-01  4.759030919204765e+00
11.9800  -4.887250989354830e-01  2.388706693748591e-01  2.852959834379662e-01  4.714704016561955e+00
11.9900  -4.862400831339340e-01  2.581161402518068e-01  3.331197092924521e-01  4.666880290707471e+00
12.0000  -4.835631157873760e-01  2.772597153911721e-01  3.843647488939687e-01  4.615635251105956e+00
12.0100  -4.806952536742110e-01  2.962938375409872e-01  4.389501908238246e-01  4.561049809176099e+00
12.0200  -4.776376289317980e-01  3.152109926577144e-01  4.967898494613082e-01  4.503210150538615e+00
12.0300  -4.743914486095221e-01  3.340037128725417e-01  5.577924010632165e-01  4.442207598936705e+00
12.0400  -4.709579941922915e-01  3.526645794394523e-01  6.218615279560289e-01  4.378138472043892e+00
12.0500  -4.673386210946490e-01  3.711862256638995e-01  6.888960706130565e-01  4.311103929386864e+00
