# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
6.8700  -2.530766078639962e-01  -4.016137770812773e-01  8.064681297074494e-02  2.133017881085846e-01
6.8800  -2.569234631542888e-01  -3.676374785230279e-01  6.757865780738491e-02  2.231771792097399e-01
6.8900  -2.604270595537418e-01  -3.329719617981662e-01  5.543516367185974e-02  2.324324736674725e-01
6.9000  -2.635808109038373e-01  -2.976791339232447e-01  4.430643338664653e-02  2.409793625662912e-01
6.9100  -2.663787706069308e-01  -2.618249408328241e-01  3.427614982105593e-02  2.487352363491177e-01
6.9200  -2.688156701833259e-01  -2.254789955074131e-01  2.542038870751600e-02  2.556243534427665e-01
6.9300  -2.708869539507777e-01  -1.887141748141458e-01  1.780651988789199e-02  2.615789252743029e-01
6.9400  -2.725888095287585e-01  -1.516061881723379e-01  1.149221814607317e-02  2.665400966578954e-01
6.9500  -2.739181939030198e-01  -1.142331215661213e-01  6.524603031370126e-03  2.704588022370626e-01
6.9600  -2.748728548230683e-01  -7.667496079007695e-02  2.939524806079919e-03  2.732964818900827e-01
6.9700  -2.754513473456342e-01  -3.901309812395611e-02  7.610109126147137e-04  2.750256406947531e-01
6.9800  -2.756530453804714e-01  -1.329826882987640e-03  8.842197693583113e-07  2.756302421345090e-01
6.9900  -2.754781481402793e-01  3.629217152415729e-02  6.585608569694267e-04  2.751059266289320e-01
7.0000  -2.749276814435004e-01  7.377034328070328e-02  2.721031773876402e-03  2.734600510945326e-01
7.0100  -2.740034938665267e-01  1.110227757953875e-01  6.163028372656438e-03  2.707115489849496e-01
7.0200  -2.727082477897297e-01  1.479687045152401e-01  1.094736875795922e-02  2.668906140177031e-01
7.0300  -2.710454054289927e-01  1.845290082456346e-01  1.702547744205873e-02  2.620382144611908e-01
7.0400  -2.690192099903644e-01  2.206266884721911e-01  2.433806783310263e-02  2.562054483278807e-01
7.0500  -2.666346621294038e-01  2.561873284113733e-01  3.281597361927843e-02  2.494527530019296e-01
7.0600  -2.638974919380951e-01  2.911395278098588e-01  4.238111232667377e-02  2.418489856364023e-01
7.0700  -2.608141267203156e-01  3.254153098609966e-01  5.294756194596421e-02  2.334703930150124e-01
7.0800  -2.573916548512107e-01  3.589504970028851e-01  6.442272964930910e-02  2.243994914295567e-01
7.0900  -2.536377860460344e-01  3.916850527989491e-01  7.670859029305775e-02  2.147238784380761e-01
7.1000  -2.495608083896858e-01  4.235633875699014e-01  8.970297164484525e-02  2.045349991194931e-01
7.1100  -2.451695424990462e-01  4.545346259367368e-01  1.033008630877246e-01  1.939268896256847e-01
7.1200  -2.404732932061091e-01  4.845528349388629e-01  1.173957249236444e-01  1.829949204669723e-01
7.1300  -2.354817991607105e-01  5.135772119005813e-01  1.318807762917873e-01  1.718345610836794e-01
7.1400  -2.302051807574005e-01  5.415722317240989e-01  1.466502410873105e-01  1.605401859011120e-01
7.1500  -2.246538867917420e-01  5.685077537797333e-01  1.616005330538389e-01  1.492039402966985e-01
7.1600  -2.188386402472323e-01  5.943590890362550e-01  1.766313633600035e-01  1.379146827942784e-01
7.1700  -2.127703836053643e-01  6.191070285194227e-01  1.916467563810746e-01  1.267570174164608e-01
7.1800  -2.064602240583732e-01  6.427378345986675e-01  2.065559620122920e-01  1.158104275500649e-01
7.1900  -1.999193789873143e-01  6.652431969754871e-01  2.212742555610833e-01  1.051485199910817e-01
7.2000  -1.931591220476870e-01  6.866201555783961e-01  2.357236190232504e-01  9.483838511153057e-02
7.2100  -1.861907301813057e-01  7.068709928553076e-01  2.498333002701242e-01  8.494007640371014e-02
7.2200  -1.790254318469715e-01  7.260030981930944e-01  2.635402492929859e-01  7.550621007373173e-02
7.2300  -1.716743567342111e-01  7.440288073850083e-01  2.767894331093789e-01  6.658168293371587e-02
7.2400  -1.641484871943821e-01  7.609652202097577e-01  2.895340331844425e-01  5.820350462891000e-02
7.2500  -1.564586115922910e-01  7.768339992824830e-01  3.017355312206084e-01  5.040073827030999e-02
7.2600  -1.486152797495688e-01  7.916611533895485e-01  3.133636908930351e-01  4.319454185254396e-02
7.2700  -1.406287606188493e-01  8.054768085286347e-01  3.243964445387374e-01  3.659830143772664e-02
7.2800  -1.325090022956990e-01  8.183149698463708e-01  3.348196949373333e-01  3.061784598555277e-02
7.2900  -1.242655944436131e-01  8.302132776014485e-01  3.446270431528698e-01  2.525173290560539e-02
7.3000  -1.159077331765701e-01  8.412127601859787e-01  3.538194539498564e-01  2.049159288894101e-02
7.3100  -1.074441884138948e-01  8.513575871162244e-01  3.624048705701798e-01  1.632252232458141e-02
7.3200  -9.888327369377112e-02  8.606948247603460e-01  3.703977906846213e-01  1.272351159884683e-02
7.3300  -9.023281840485914e-02  8.692741974100702e-01  3.778188151414608e-01  9.667897783242719e-03
7.3400  -8.150014237026125e-02  8.771478561298693e-01  3.846941807566130e-01  7.123830608381666e-03
7.3500  -7.269203269464827e-02  8.843701576357754e-01  3.910552878583631e-01  5.054741163730661e-03
7.3600  -6.381472276375998e-02  8.909974552706977e-01  3.969382326494295e-01  3.419803421535489e-03
7.3700  -5.487387326575229e-02  8.970879039581163e-01  4.023833537139833e-01  2.174379423962174e-03
7.3800  -4.587455508595488e-02  9.027012808351091e-01  4.074348012106733e-01  1.270439762188719e-03
7.3900  -3.682123391046706e-02  9.078988230923200e-01  4.121401364862098e-01  6.569517834239319e-04
7.4000  -2.771775635956740e-02  9.127430843858966e-01  4.165499690471400e-01  2.802287573297521e-04
7.4100  -1.856733745901914e-02  9.172978110374769e-01  4.207176370670733e-01  8.423399025784337e-05
7.4200  -9.372549245870970e-03  9.216278391055432e-01  4.246989369071765e-01  1.083456987967438e-05
7.4300  -1.353102951075173e-04  9.257990132971912e-01  4.285519065110264e-01  3.260100629777547e-11
7.4400  9.143070741555718e-03  9.298564720609694e-01  4.323165293168362e-01  1.005807157887699e-05
7.4500  1.846129007079690e-02  9.337551794258777e-01  4.359493675523265e-01  8.279891016472102e-05
7.4600  2.781741400171722e-02  9.374257617515986e-01  4.393835293977825e-01  2.832622785427134e-04
7.4700  3.720881107882230e-02  9.407980523579367e-01  4.425504876602435e-01  6.779159656163434e-04
7.4800  4.663214456924639e-02  9.438011792756675e-01  4.453803330010704e-01  1.334426469988868e-03
7.4900  5.608336595998029e-02  9.463636798225233e-01  4.478021072436137e-01  2.321350366822458e-03
7.5000  6.555770973811426e-02  9.484136426938768e-01  4.497442188239343e-01  3.707744515697034e-03
7.5100  7.504968973089733e-02  9.498788778723414e-01  4.511349413140092e-01  5.562694192550549e-03
7.5200  8.455309728460024e-02  9.506871144836220e-01  4.519029948225977e-01  7.954759334312165e-03
7.5300  9.406100156142151e-02  9.507662265164635e-01  4.519782087421776e-01  1.095134040189845e-02
7.5400  1.035657522316731e-01  9.500444860827834e-01  4.512922627681500e-01  1.461796688885569e-02
7.5500  1.130589848339026e-01  9.484508436209518e-01  4.497795013826476e-01  1.901751321541756e-02
7.5600  1.225316290681472e-01  9.459152341422463e-01  4.473778150911903e-01  2.420934862984650e-02
7.5700  1.319739202768865e-01  9.423689082900261e-01  4.440295796558678e-01  3.024842976107724e-02
7.5800  1.413754143541974e-01  9.377447866261664e-01  4.396826424222772e-01  3.718434659051278e-02
7.5900  1.507250063059002e-01  9.319778351836632e-01  4.342913426368136e-01  4.506033478893198e-02
7.6000  1.600109526619249e-01  9.250054599327447e-01  4.278175504526943e-01  5.391226954052863e-02
7.6100  1.692208979165979e-01  9.167679174059211e-01  4.202317071923949e-01  6.376765808537778e-02
7.6200  1.783419051429740e-01  9.072087383215893e-01  4.115138474435250e-01  7.464465018194365e-02
7.6300  1.873604908937179e-01  8.962751606433347e-01  4.016545817931177e-01  8.655108744443683e-02
7.6400  1.962626644634407e-01  8.839185681209204e-01  3.906560175344691e-01  9.948361396370892e-02
7.6500  2.050339715459799e-01  8.700949299877531e-01  3.785325935951965e-01  1.134268716911895e-01
7.6600  2.136595422751227e-01  8.547652371474852e-01  3.653118053178983e-01  1.283528046707481e-01
7.6700  2.221241435890439e-01  8.378959298788121e-01  3.510347946537396e-01  1.442200962656626e-01
7.6800  2.304122358076971e-01  8.194593118320567e-01  3.357567818741339e-01  1.609737629778201e-01
7.6900  2.385080332590953e-01  7.994339448932772e-01  3.195473161238137e-01  1.785449272368638e-01
7.7000  2.463955687354590e-01  7.778050193605658e-01  3.024903240712450e-01  1.968507896072882e-01
7.7100  2.540587615043092e-01  7.545646938214254e-01  2.846839385809107e-01  2.157948182003865e-01
7.7200  2.614814885435401e-01  7.297123991472696e-01  2.662400927346321e-01  2.352671696875097e-01
7.7300  2.686476586141672e-01  7.032551011375739e-01  2.472838686380097e-01  2.551453522192401e-01
7.7400  2.755412887307492e-01  6.752075165570004e-01  2.279525952075360e-01  2.752951358175874e-01
7.7500  2.821465825383728e-01  6.455922776170726e-01  2.083946944593997e-01  2.955717105096737e-01
7.7600  2.884480100575594e-01  6.144400403609378e-01  1.887682815993754e-01  3.158210867245571e-01
7.7700  2.944303882154788e-01  5.817895329144136e-01  1.692395303043858e-01  3.358817264196622e-01
7.7800  3.000789615444076e-01  5.476875401655762e-01  1.499808208263098e-01  3.555863872034260e-01
7.7900  3.053794823973585e-01  5.121888221228388e-01  1.311686947537905e-01  3.747641555593401e-01
7.8000  3.103182900070859e-01  4.753559639696182e-01  1.129816462407425e-01  3.932426393504706e-01
7.8100  3.148823876989907e-01  4.372591566716807e-01  9.559778504661470e-02  4.108502842964121e-01
7.8200  3.190595175614370e-01  3.979759078882446e-01  7.919241162973625e-02  4.274187742692541e-01
7.8300  3.228382318791697e-01  3.575906838749812e-01  6.393554859708836e-02  4.427854712448729e-01
7.8400  3.262079606471933e-01  3.161944840295232e-01  4.998947586534821e-02  4.567958477460354e-01
7.8500  3.291590745038356e-01  2.738843506998989e-01  3.750631877915259e-02  4.693058627734523e-01
7.8600  3.316829424527268e-01  2.307628178344071e-01  2.662573904743788e-02  4.801842316548515e-01
7.8700  3.337719837838838e-01  1.869373029783303e-01  1.747277762240602e-02  4.893145410245046e-01
7.8800  3.354197136535709e-01  1.425194479990256e-01  1.015589652897348e-02  4.965971623046677e-01
7.8900  3.366207818405215e-01  9.762441472744791e-02  4.765263175438374e-03  5.019509205752961e-01
7.9000  3.373710042616648e-01  5.237014242319286e-02  1.371315908712753e-03  5.053144805182760e-01
7.9100  3.376673869027372e-01  6.876574585548916e-03  2.364363901530862e-05  5.066474170873095e-01
7.9200  3.375081418969770e-01  -3.873513686926867e-02  7.502054141404887e-04  5.059309455193045e-01
7.9300  3.368926955672586e-01  -8.434344167607104e-02  3.556908076882399e-03  5.031682930625790e-01
7.9400  3.358216883321750e-01  -1.298272069145941e-01  8.427551827622412e-03  4.983847031143996e-01
7.9500  3.342969664633320e-01  -1.750665296227782e-01  1.532414489708155e-02  4.916270710756193e-01
7.9600  3.323215657680097e-01  -2.199435376809405e-01  2.418757988380366e-02  4.829632198714262e-01
7.9700  3.298996873569427e-01  -2.643431705205102e-01  3.493865590041777e-02  4.724808314813385e-01
7.9800  3.270366657398376e-01  -3.081539315525840e-01  4.747942276565732e-02  4.602860587053292e-01
7.9900  3.237389295700343e-01  -3.512686046846717e-01  6.169481631855808e-02  4.465018485237635e-01
8.0000  3.200139554331605e-01  -3.935849278877889e-01  7.745454773021798e-02  4.312660145742639e-01
8.0100  3.158702151415835e-01  -4.350062174770270e-01  9.461520462183526e-02  4.147291012945296e-01
8.0200  3.113171170559429e-01  -4.754419375611739e-01  1.130225179959616e-01  3.970520860368514e-01
8.0300  3.063649420062103e-01  -5.148082099834168e-01  1.325137465331649e-01  3.784039678662421e-01
8.0400  3.010247744269315e-01  -5.530282609969670e-01  1.529201287306647e-01  3.589592927786873e-01
8.0500  2.953084293541042e-01  -5.900328018772008e-01  1.740693536455300e-01  3.388956647373393e-01
8.0600  2.892283759542573e-01  -6.257603416461336e-01  1.957880025885429e-01  3.183912902877231e-01
8.0700  2.827976582696790e-01  -6.601574310565449e-01  2.179039168895884e-01  2.976226016853521e-01
8.0800  2.760298138674836e-01  -6.931788379336210e-01  2.402484506795026e-01  2.767619995933842e-01
8.0900  2.689387910746320e-01  -7.247876548845809e-01  2.626585723365452e-01  2.559757516551384e-01
8.1000  2.615388654665664e-01  -7.549553412461452e-01  2.849787836380417e-01  2.354220778071402e-01
8.1100  2.538445562543959e-01  -7.836617019326036e-01  3.070628315379524e-01  2.152494472749345e-01
8.1200  2.458705431853010e-01  -8.108948065626179e-01  3.287751936551128e-01  1.955951059907937e-01
8.1300  2.376315845338143e-01  -8.366508528720757e-01  3.499923248057858e-01  1.765838468890051e-01
8.1400  2.291424367188101e-01  -8.609339789571034e-01  3.706036580614551e-01  1.583270293575226e-01
8.1500  2.204177760332991e-01  -8.837560293319811e-01  3.905123596903147e-01  1.409218482227945e-01
8.1600  2.114721229224880e-01  -9.051362801298271e-01  4.096358428036304e-01  1.244508471627566e-01
8.1700  2.023197691909703e-01  -9.251011290203806e-01  4.279060494573914e-01  1.089816664999556e-01
8.1800  1.929747084633294e-01  -9.436837555719256e-01  4.452695152651669e-01  9.456701101278063e-02
8.1900  1.834505701647793e-01  -9.609237578481384e-01  4.616872341984939e-01  8.124481977901399e-02
8.2000  1.737605572305831e-01  -9.768667710116746e-01  4.771343441533878e-01  6.903861716516897e-02
8.2100  1.639173876956883e-01  -9.915640736122661e-01  4.915996560392757e-01  5.795802190350772e-02
8.2200  1.539332402599870e-01  -1.005072187076560e+00  5.050850506174298e-01  4.799938973823212e-02
8.2300  1.438197038704833e-01  -1.017452473699215e+00  5.176047681183257e-01  3.914656433422749e-02
8.2400  1.335877313099464e-01  -1.028770738169637e+00  5.291846158570498e-01  3.137171096971748e-02
8.2500  1.232475967327677e-01  -1.039096837366169e+00  5.398611187121870e-01  2.463620790858296e-02
8.2600  1.128088570430558e-01  -1.048504302819408e+00  5.496806365154063e-01  1.889157118957442e-02
8.2700  1.022803169677135e-01  -1.057069979898383e+00  5.586984712011843e-01  1.408038979286910e-02
8.2800  9.166999763848603e-02  -1.064873687416781e+00  5.669779850763059e-01  1.013724966140841e-02
8.2900  8.098510846177784e-02  -1.071997901000068e+00  5.745897498742752e-01  6.989626777515578e-03
8.3000  7.023202202338377e-02  -1.078527463206335e+00  5.816107444451463e-01  4.558731339517849e-03
8.3100  5.941625174702388e-02  -1.084549323061361e+00  5.881236170764279e-01  2.760286968263533e-03
8.3200  4.854243200054061e-02  -1.090152307358496e+00  5.942160266195263e-01  1.505230725413424e-03
8.3300  3.761430032154282e-02  -1.095426925792470e+00  5.999800748755710e-01  7.003214770440078e-04
8.3400  2.663468141486042e-02  -1.100465211748325e+00  6.055118411341426e-01  2.486457275981820e-04
8.3500  1.560547255704262e-02  -1.105360600357030e+00  6.109110284108269e-01  5.001142794426333e-05
8.3600  4.527630027891246e-03  -1.110207845261984e+00  6.162807298406291e-01  1.221381328827933e-06
8.3700  -6.598833776004651e-03  -1.115096189064868e+00  6.217197554334956e-01  3.781290538288916e-06
8.3800  -1.777438756086441e-02  -1.120011104527002e+00  6.272124371318978e-01  7.389625316150317e-05
8.3900  -2.899881997677053e-02  -1.124855209870938e+00  6.326496215868964e-01  3.209071988817432e-04
