numerical = 3.879902945403835429e-02   exact = 3.879902945403596037e-02
numerical = 3.094907623239127534e-02   exact = 3.094907623239430070e-02
numerical = 2.309721355170845855e-02   exact = 2.309721355171389170e-02
numerical = 1.524392584681192979e-02   exact = 1.524392584681383798e-02
numerical = 7.389697640419329305e-03   exact = 7.389697640433127296e-03
numerical = -4.649864866562279805e-04   exact = -4.649864866619848771e-04
numerical = -8.319641925575783567e-03   exact = -8.319641925578172281e-03
numerical = -1.617378406919115288e-02   exact = -1.617378406919029940e-02
numerical = -2.402692834203685665e-02   exact = -2.402692834204412861e-02
numerical = -3.187859023023625893e-02   exact = -3.187859023024775668e-02
numerical = -3.972828531137637120e-02   exact = -3.972828531137032743e-02
numerical = -4.757552928431724171e-02   exact = -4.757552928432669248e-02
numerical = -5.541983799925041809e-02   exact = -5.541983799925458837e-02
numerical = -6.326072748739049179e-02   exact = -6.326072748738999219e-02
numerical = -7.109771399091947830e-02   exact = -7.109771399092557065e-02
numerical = -7.893031399284891614e-02   exact = -7.893031399285169170e-02
numerical = -8.675804424679216253e-02   exact = -8.675804424679491034e-02
numerical = -9.458042180682633970e-02   exact = -9.458042180682969813e-02
numerical = -1.023969640572762463e-01   exact = -1.023969640572719303e-01
numerical = -1.102071887424636576e-01   exact = -1.102071887424601326e-01
numerical = -1.180106139965102219e-01   exact = -1.180106139965059059e-01
numerical = -1.258067583730300976e-01   exact = -1.258067583730227146e-01
numerical = -1.335951408748333180e-01   exact = -1.335951408748322355e-01
numerical = -1.413752809836332780e-01   exact = -1.413752809836384960e-01
numerical = -1.491466986896811120e-01   exact = -1.491466986896756997e-01
numerical = -1.569089145213130865e-01   exact = -1.569089145213198588e-01
numerical = -1.646614495746725471e-01   exact = -1.646614495746761830e-01
numerical = -1.724038255431200872e-01   exact = -1.724038255431207811e-01
numerical = -1.801355647468095567e-01   exact = -1.801355647468141918e-01
numerical = -1.878561901621695340e-01   exact = -1.878561901621707830e-01
