# m=1, k=39.4784, p=4
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
8.9300  -8.881507033306528e-01  2.730751221506801e+00  3.728501116880444e+00  6.141103284052885e+00
8.9400  -8.595031815217551e-01  2.994433102916529e+00  4.483314803921156e+00  5.386289597003644e+00
8.9500  -8.283492685271636e-01  3.231967578654125e+00  5.222807214735704e+00  4.646797186166298e+00
8.9600  -7.949512861272553e-01  3.443283857625544e+00  5.928101862092325e+00  3.941502538774593e+00
8.9700  -7.595694151279448e-01  3.628869063556895e+00  6.584345340220149e+00  3.285259060602420e+00
8.9800  -7.224564934175575e-01  3.789690868175221e+00  7.180878438165330e+00  2.688725962607120e+00
8.9900  -6.838536353094516e-01  3.927111597577312e+00  7.711102749913112e+00  2.158501650806947e+00
9.0000  -6.439867286737940e-01  4.042799439725136e+00  8.172113654920937e+00  1.697490745747565e+00
9.0100  -6.030638143193924e-01  4.138641490349997e+00  8.564176692823221e+00  1.305427707797034e+00
9.0200  -5.612733099873946e-01  4.216662302008364e+00  8.890120484589236e+00  9.794839159878358e-01
9.0300  -5.187830102577646e-01  4.278950486950862e+00  9.154708634888509e+00  7.148957656514541e-01
9.0400  -4.757397734887241e-01  4.327594877680056e+00  9.364038712661330e+00  5.055656878479655e-01
9.0500  -4.322697965413151e-01  4.364630842508126e+00  9.525001195686599e+00  3.446032047983144e-01
9.0600  -3.884793758628199e-01  4.391996625985080e+00  9.644817181332165e+00  2.247872191341645e-01
9.0700  -3.444560576486377e-01  4.411499046486611e+00  9.730661918576139e+00  1.389424818766407e-01
9.0800  -3.002700884089898e-01  4.424787525718912e+00  9.789372323878846e+00  8.023207656455435e-02
9.0900  -2.559760886396347e-01  4.433335224747289e+00  9.827230607492547e+00  4.237379294475262e-02
9.1000  -2.116148850023533e-01  4.438425989517782e+00  9.849812632213451e+00  1.979176822019691e-02
9.1100  -1.672154493267923e-01  4.441145835750408e+00  9.861888167201595e+00  7.716233230089065e-03
9.1200  -1.227969050058860e-01  4.442377800931851e+00  9.867360263106054e+00  2.244137324734056e-03
9.1300  -7.837057238357066e-02  4.442799136654195e+00  9.869232084327633e+00  3.723161028558651e-04
9.1400  -3.394203414417612e-02  4.442879989609509e+00  9.869591301036294e+00  1.309939413518249e-05
9.1500  1.048679071858441e-02  4.442882911143914e+00  9.869604281067311e+00  1.193631165051188e-07
9.1600  5.491557016813814e-02  4.442862734917632e+00  9.869514640659888e+00  8.975977054354398e-05
9.1700  9.934348185048625e-02  4.442666565063360e+00  9.868643104165935e+00  9.612962646431945e-04
9.1800  1.437671359444616e-01  4.441933821015499e+00  9.865388035140676e+00  4.216365290425412e-03
9.1900  1.881784992840147e-01  4.440096489080760e+00  9.857228416173648e+00  1.237598425877404e-02
9.2000  2.325628244186296e-01  4.436379934323521e+00  9.840733460834185e+00  2.887093960089610e-02
9.2100  2.768965918249160e-01  4.429804828087706e+00  9.811585407474574e+00  5.801899296519436e-02
9.2200  3.211454800252492e-01  4.419190943122753e+00  9.764624295889082e+00  1.049801045581937e-01
9.2300  3.652623868278458e-01  4.403163753387259e+00  9.693925519571689e+00  1.756788808867863e-01
9.2400  4.091855351126195e-01  4.380164938645661e+00  9.592922444870375e+00  2.766819556038706e-01
9.2500  4.528367082552769e-01  4.348468019569208e+00  9.454587058608075e+00  4.150173418873361e-01
9.2600  4.961196729353144e-01  4.306200416608669e+00  9.271681014000336e+00  5.979233865222846e-01
9.2700  5.389188600077358e-01  4.251373209940693e+00  9.037087085100717e+00  8.325173154555207e-01
9.2800  5.810983863550666e-01  4.181919749251193e+00  8.744226394588582e+00  1.125378006007586e+00
9.2900  6.225015108992440e-01  4.095743991030147e+00  8.387559420029776e+00  1.482044980611982e+00
9.3000  6.629506246783452e-01  3.990779000733607e+00  7.963158516348164e+00  1.906445884343472e+00
9.3100  7.022478762905756e-01  3.865055430112047e+00  7.469326738919309e+00  2.400277661824395e+00
9.3200  7.401765281876387e-01  3.716778965111631e+00  6.907222937748144e+00  2.962381463047001e+00
9.3300  7.765031244755567e-01  3.544414760170579e+00  6.281437996057530e+00  3.588166404785070e+00
9.3400  8.109805256499223e-01  3.346775784877743e+00  5.600454077122017e+00  4.269150323760479e+00
9.3500  8.433518293713824e-01  3.123110898811293e+00  4.876910843136943e+00  4.992693557774500e+00
9.3600  8.733551493697169e-01  2.873187464656079e+00  4.127603103528414e+00  5.742001297398393e+00
9.3700  9.007291686357932e-01  2.597362559799754e+00  3.373146133524764e+00  6.496458267402466e+00
9.3800  9.252193215859863e-01  2.296636513902124e+00  2.637269638494251e+00  7.232334762418805e+00
9.3900  9.465843977920444e-01  1.972682730860161e+00  1.945738578316951e+00  7.923865822569591e+00
9.4000  9.646033033538685e-01  1.627848649295391e+00  1.324945612506414e+00  8.544658788345355e+00
9.4100  9.790816719024598e-01  1.265124281555876e+00  8.002697238911358e-01  9.069334676923010e+00
9.4200  9.898579921777093e-01  8.880769736352235e-01  3.943403555505487e-01  9.475264045229112e+00
9.4300  9.968089184791388e-01  5.007536664047822e-01  1.253771172089160e-01  9.744227283544955e+00
9.4400  9.998534570811682e-01  1.075547361497325e-01  5.784010634119289e-03  9.863820390106810e+00
9.4500  9.989557758821540e-01  -2.869138869158475e-01  4.115978925257987e-02  9.828444611490264e+00
9.4600  9.941264626078629e-01  -6.780015243540604e-01  2.298430335132148e-01  9.639761367245857e+00
9.4700  9.854221520692679e-01  -1.061176396465641e+00  5.630476722079013e-01  9.306556728578769e+00
9.4800  9.729435461076728e-01  -1.432181741562753e+00  1.025572270432860e+00  8.844032130387946e+00
9.4900  9.568319506187724e-01  -1.787174793604708e+00  1.596996871448016e+00  8.272607529407624e+00
9.5000  9.372645424492516e-01  -2.122840690322125e+00  2.253226298243658e+00  7.616378102641713e+00
9.5100  9.144486468015712e-01  -2.436475761215771e+00  2.968207067495984e+00  6.901397333409127e+00
9.5200  8.886153477249705e-01  -2.726037389616725e+00  3.715639924794185e+00  6.153964476117366e+00
9.5300  8.600127683841945e-01  -2.990160407096278e+00  4.470529630083088e+00  5.399074770820190e+00
9.5400  8.288993455114407e-01  -3.228142447358176e+00  5.210451830217818e+00  4.659152570662893e+00
9.5500  7.955373879720931e-01  -3.439902624615379e+00  5.916465033417885e+00  3.953139367427928e+00
9.5600  7.601871587726430e-01  -3.625919176042135e+00  6.573644935595037e+00  3.295959465206552e+00
9.5700  7.231016599588445e-01  -3.787152292731891e+00  7.171261244172208e+00  2.698343156579331e+00
9.5800  6.845222373388387e-01  -3.924958322039738e+00  7.702648914874499e+00  2.166955485824658e+00
9.5900  6.446750624941704e-01  -4.041000981924436e+00  8.164844467957129e+00  1.704759932690431e+00
9.6000  6.037684973478156e-01  -4.137164341697257e+00  8.558064395105648e+00  1.311540005493600e+00
