# r      Exact       Approx       Abserr
3.5771654 -0.14408843 -0.14408843 6.9416695e-13
3.5834646 -0.14353361 -0.14353361 6.854517e-13
3.5897638 -0.14298008 -0.14298008 6.8270389e-13
3.596063 -0.14242785 -0.14242785 6.7187922e-13
3.6023622 -0.14187691 -0.14187691 6.6768813e-13
3.6086614 -0.14132727 -0.14132727 6.6080474e-13
3.6149606 -0.14077894 -0.14077894 6.5197847e-13
3.6212598 -0.14023193 -0.14023193 6.439016e-13
3.6275591 -0.13968623 -0.13968623 6.3613004e-13
3.6338583 -0.13914186 -0.13914186 6.3149486e-13
3.6401575 -0.13859882 -0.13859882 6.2602701e-13
3.6464567 -0.13805711 -0.13805711 6.1911587e-13
3.6527559 -0.13751673 -0.13751673 6.0751404e-13
3.6590551 -0.13697771 -0.13697771 6.0848548e-13
3.6653543 -0.13644002 -0.13644002 5.9804939e-13
3.6716535 -0.13590369 -0.13590369 5.8636429e-13
3.6779528 -0.13536872 -0.13536872 5.8575367e-13
3.684252 -0.1348351 -0.1348351 5.7631677e-13
3.6905512 -0.13430285 -0.13430285 5.7445715e-13
3.6968504 -0.13377197 -0.13377197 5.704881e-13
3.7031496 -0.13324246 -0.13324246 5.5713767e-13
3.7094488 -0.13271432 -0.13271432 5.5142002e-13
3.715748 -0.13218757 -0.13218757 5.4620197e-13
3.7220472 -0.13166219 -0.13166219 5.4151128e-13
3.7283465 -0.1311382 -0.1311382 5.3310134e-13
3.7346457 -0.1306156 -0.1306156 5.2846616e-13
3.7409449 -0.13009439 -0.13009439 5.2474691e-13
3.7472441 -0.12957458 -0.12957458 5.1664228e-13
3.7535433 -0.12905617 -0.12905617 5.0942583e-13
3.7598425 -0.12853915 -0.12853915 5.062617e-13
3.7661417 -0.12802355 -0.12802355 4.9879545e-13
3.7724409 -0.12750934 -0.12750934 4.9421578e-13
3.7787402 -0.12699655 -0.12699655 4.8852589e-13
3.7850394 -0.12648517 -0.12648517 4.8022697e-13
3.7913386 -0.12597521 -0.12597521 4.7636894e-13
3.7976378 -0.12546666 -0.12546666 4.7453708e-13
3.803937 -0.12495953 -0.12495953 4.6833371e-13
3.8102362 -0.12445383 -0.12445383 4.5813353e-13
3.8165354 -0.12394954 -0.12394954 4.5748128e-13
3.8228346 -0.12344669 -0.12344669 4.4970971e-13
3.8291339 -0.12294526 -0.12294526 4.4209081e-13
3.8354331 -0.12244526 -0.12244526 4.4206305e-13
3.8417323 -0.12194669 -0.12194669 4.3645643e-13
3.8480315 -0.12144956 -0.12144956 4.2713055e-13
3.8543307 -0.12095386 -0.12095386 4.2658932e-13
3.8606299 -0.1204596 -0.1204596 4.1810999e-13
3.8669291 -0.11996677 -0.11996677 4.1198989e-13
